Srednia czasow dla 100 grafow
BFS[ns]	DFS[ns]    Wierzcholkow	KrawedziDodatkowych
18598	4535	   10			0
17262	2778	   10			1
17144	2754	   10			2
16910	2450	   10			3
16324	2253	   10			4
16189	2113	   10			5

41045	33901	   100			0
34106	28704	   100			10
29398	27504	   100			20
26280	25487	   100			30
25343	23248	   100			40
25320	23358	   100			50

333151	285829	   1000			0
230069	198324	   1000			300

3331421	2917836f   10000	3000
17134915	14628345	100000	30000

73333937	63228141	50000	50000

Pojedyncze wyniki
18780	   1943	10	3

22252	   23021 100 30

49580 	   165664 1000 300
81762	   26343  1000 300

16267	   3107554 10000 3000
3526334 1391955  10000 3000





